topic_number,topic_mix
0,"0.057*""wordpress"" + 0.044*""spiritual-awakening"" + 0.042*""wordpress-themes"" + 0.038*""wordpress-customization"" + 0.037*""wordpress-plugins"" + 0.035*""webdesign"" + 0.032*""web-development"" + 0.032*""blogs"" + 0.032*""wordpress-developers"" + 0.030*""wordpress-users"""
1,"0.160*""mobile-development"" + 0.154*""mobile-technology"" + 0.106*""android-developers"" + 0.105*""ios-development"" + 0.049*""softwaredev"" + 0.025*""newtech"" + 0.016*""web-development"" + 0.015*""women-software-developers"" + 0.014*""technology"" + 0.013*""apple"""
2,"0.074*""forextrading"" + 0.073*""trading"" + 0.062*""currency-trading"" + 0.059*""technical-analysis"" + 0.052*""daytraders"" + 0.050*""stock-trading"" + 0.038*""forex-trading-education"" + 0.034*""investing"" + 0.032*""wearable-technologies"" + 0.025*""stocks-and-options"""
3,"0.067*""nosql"" + 0.057*""hadoop"" + 0.051*""mapreduce"" + 0.047*""big-data"" + 0.046*""high-scalability-computing"" + 0.045*""neural-networks"" + 0.038*""mongodb"" + 0.027*""cassandra"" + 0.027*""opensource"" + 0.025*""artificial-intelligence-machine-learning-robotics"""
4,"0.084*""content-strategy"" + 0.083*""functional-programming"" + 0.054*""content-marketing"" + 0.049*""search-engine-marketing"" + 0.046*""scala"" + 0.043*""programming-languages"" + 0.034*""clojure"" + 0.030*""haskell"" + 0.024*""dance-and-movement"" + 0.022*""google-seo"""
5,"0.150*""ai"" + 0.095*""machine-learning"" + 0.057*""deep-learning"" + 0.045*""artificial-intelligence-applications"" + 0.037*""big-data"" + 0.037*""machine-intelligence"" + 0.036*""natural-language-processing"" + 0.036*""data-science"" + 0.032*""newtech"" + 0.030*""robotics"""
6,"0.136*""workathome"" + 0.094*""ebizowners"" + 0.055*""home-based-business"" + 0.044*""wahm"" + 0.040*""online-marketing"" + 0.033*""gaypros"" + 0.030*""Lesbian"" + 0.029*""parents"" + 0.028*""workingmoms"" + 0.022*""gay-singles"""
7,"0.148*""freelance"" + 0.116*""creative-freelancers"" + 0.101*""coworking"" + 0.082*""entrepreneurship"" + 0.072*""startup-businesses"" + 0.059*""smallbiz"" + 0.057*""professional-networking"" + 0.046*""mobile-marketing"" + 0.034*""contractors"" + 0.026*""virtual-freelancers"""
8,"0.200*""prodev"" + 0.059*""professional-networking"" + 0.048*""leadership"" + 0.043*""career-network"" + 0.041*""newcareer"" + 0.035*""career-coaching"" + 0.033*""job-search"" + 0.032*""careers"" + 0.031*""entrepreneurship"" + 0.030*""leadership-development"""
9,"0.110*""financial-technology"" + 0.090*""finance"" + 0.061*""financial-innovation"" + 0.050*""banking"" + 0.048*""hr"" + 0.039*""finance-professionals"" + 0.036*""networking-with-hr-professionals"" + 0.032*""stategic-hr"" + 0.028*""recruiting-and-hiring"" + 0.028*""financial-services"""
10,"0.079*""film-and-video-production"" + 0.062*""independent-filmmakers"" + 0.049*""filmind"" + 0.045*""indiefilm"" + 0.042*""salesforce"" + 0.037*""film"" + 0.030*""dv"" + 0.027*""digitalart"" + 0.026*""force-com"" + 0.025*""screenwriters"""
11,"0.185*""social-entrepreneurship"" + 0.075*""social-innovation"" + 0.071*""young-entrepreneur"" + 0.058*""sealliance"" + 0.043*""nonprofit"" + 0.037*""moms"" + 0.027*""communityorg"" + 0.026*""charity"" + 0.026*""social-impact"" + 0.019*""socially-responsible-business"""
12,"0.163*""witi"" + 0.052*""women-programmers"" + 0.033*""programming-in-r"" + 0.026*""african-culture"" + 0.021*""chatbots"" + 0.019*""ethnic-food"" + 0.018*""bots"" + 0.016*""r-ladies"" + 0.016*""understanding-islam"" + 0.016*""r-programming-language"""
13,"0.055*""masterminds"" + 0.041*""business-mastermind"" + 0.041*""crm"" + 0.028*""business-brainstorming"" + 0.027*""customer-relationship-management"" + 0.024*""lectures"" + 0.024*""successful-relationships"" + 0.024*""fundraising"" + 0.021*""microsoft-dynamics-crm"" + 0.018*""mastermind-self-mastery"""
14,"0.122*""women-entrepreneurs"" + 0.120*""professional-women"" + 0.110*""womens-business-networking"" + 0.089*""womens-empowerment"" + 0.077*""women"" + 0.070*""women-small-business-owners"" + 0.057*""womens-networking"" + 0.054*""female-entrepreneurs"" + 0.041*""entrepreneurship"" + 0.034*""professional-networking"""
15,"0.064*""gdpr-general-data-protection-regulation"" + 0.056*""data-protection"" + 0.051*""compliance"" + 0.039*""sportsfans"" + 0.033*""inspirational"" + 0.029*""business-leaders"" + 0.027*""personal-data-and-trust"" + 0.026*""francophone-world-expats"" + 0.024*""technology-governance"" + 0.024*""risk-management"""
16,"0.296*""investing"" + 0.038*""artificial-general-intelligence"" + 0.033*""cashflow"" + 0.029*""investor"" + 0.025*""anime"" + 0.019*""high-tech-ventures"" + 0.019*""gender-equality"" + 0.018*""venture-capital-and-startup"" + 0.015*""cosplay"" + 0.014*""creating-a-successful-business"""
17,"0.149*""saas-software-as-a-service"" + 0.091*""cloud-computing"" + 0.078*""paas"" + 0.053*""iaas-infrastructure-as-a-service"" + 0.044*""virtualization"" + 0.042*""openstack"" + 0.024*""linked-data"" + 0.019*""semweb"" + 0.018*""softwaredev"" + 0.015*""semantic-technologies"""
18,"0.143*""social"" + 0.118*""newintown"" + 0.103*""socialnetwork"" + 0.076*""fun-times"" + 0.060*""diningout"" + 0.058*""nightlife"" + 0.052*""singles"" + 0.042*""london"" + 0.028*""pubs-bars"" + 0.025*""dating-and-relationships"""
19,"0.169*""self-improvement"" + 0.115*""personal-development"" + 0.105*""self-empowerment"" + 0.080*""life-coaching"" + 0.056*""self-exploration"" + 0.045*""lifetransform"" + 0.042*""prodev"" + 0.039*""leadership"" + 0.033*""lawofattraction"" + 0.029*""executive-coaching"""
20,"0.129*""venture-capital"" + 0.094*""angel-investors"" + 0.039*""crowdfunding"" + 0.034*""raising-capital"" + 0.032*""startup-incubation-and-entrepreneurship-mentors"" + 0.032*""seed-funding"" + 0.029*""startup-financing"" + 0.023*""internet-marketing-strategies-for-business-owners"" + 0.020*""podcasting"" + 0.018*""entrepreneurship"""
21,"0.187*""yoga"" + 0.039*""cooking-any-and-all-kinds-of-cooking"" + 0.034*""mindfulness-meditation"" + 0.029*""recipes"" + 0.028*""reactjs"" + 0.025*""kundalini-yoga"" + 0.024*""wellness"" + 0.022*""react-native"" + 0.021*""healthy-living"" + 0.017*""art-classes"""
22,"0.125*""python"" + 0.068*""opensource"" + 0.062*""computer-programming"" + 0.053*""distributed-systems"" + 0.048*""r-project-for-statistical-computing"" + 0.029*""data-analysis-and-modeling"" + 0.029*""statistical-computing"" + 0.024*""softwaredev"" + 0.022*""concurrent-programming"" + 0.021*""golang"""
23,"0.117*""devops"" + 0.067*""continuous-delivery"" + 0.065*""cloud-computing"" + 0.061*""linux"" + 0.058*""opensource"" + 0.054*""sysadmin"" + 0.053*""infrastructure-as-code"" + 0.050*""docker"" + 0.048*""configuration-management"" + 0.036*""data-center-and-operations-automation"""
24,"0.098*""blogs"" + 0.071*""creativecircle"" + 0.039*""wordpress"" + 0.034*""blog-marketing"" + 0.028*""blogging-to-promote-yourself"" + 0.026*""vloggers"" + 0.025*""how-to-market-your-business-through-blogging"" + 0.019*""food-blogging"" + 0.016*""low-level-walking"" + 0.014*""publishers"""
25,"0.121*""international-friends"" + 0.051*""make-new-friends-from-all-walks-of-life"" + 0.027*""agile-and-scrum"" + 0.026*""ecstatic-dance"" + 0.025*""laughter-good-conversation-friendships"" + 0.025*""open-government"" + 0.023*""eating-drinking-talking-laughing-etc"" + 0.022*""scaled-agile-framework-safe"" + 0.018*""agile-portfolio-management"" + 0.016*""solo-single-travelers-looking-for-group-to-travel"""
26,"0.101*""cryptocurrency"" + 0.091*""bitcoin"" + 0.082*""digital-currency"" + 0.081*""blockchain"" + 0.068*""ethereum"" + 0.066*""virtual-currency"" + 0.051*""smart-contracts"" + 0.048*""cryptography"" + 0.037*""bitcoin-miners"" + 0.036*""decentralization"""
27,"0.059*""apis"" + 0.059*""local-activities"" + 0.056*""computer"" + 0.027*""clean-code"" + 0.025*""web-api-design"" + 0.023*""application-programming-interface"" + 0.020*""creative-industries"" + 0.019*""tours"" + 0.018*""functional-reactive-programming"" + 0.017*""api-documentation"""
28,"0.152*""language"" + 0.079*""culture-exchange"" + 0.067*""esl"" + 0.063*""english-language"" + 0.057*""exchangestud"" + 0.056*""language-exchange"" + 0.043*""expat"" + 0.030*""artificial-intelligence-programming"" + 0.027*""esl-practice"" + 0.021*""social"""
29,"0.167*""collaboration"" + 0.080*""projectmgmt"" + 0.072*""knowledge-sharing"" + 0.044*""happiness"" + 0.036*""collaboration-between-creative-minds"" + 0.025*""wellbeing"" + 0.024*""project-management-tools"" + 0.019*""community-building"" + 0.019*""alternativeenergy"" + 0.019*""project-management-professional"""
30,"0.128*""bitcoin-security"" + 0.062*""teachers"" + 0.057*""how-to-safely-store-your-bitcoin"" + 0.040*""bristol"" + 0.040*""internet-technology-professionals-startups"" + 0.027*""manufacturers-ecommerce"" + 0.025*""bring-angel-investors-and-startups-together"" + 0.025*""what-ecommerce-platform-do-you-use"" + 0.020*""business-networking-international-bni"" + 0.018*""litecoin"""
31,"0.084*""marketing-strategy"" + 0.083*""coffee"" + 0.061*""digital-marketer"" + 0.051*""digital-marketing-professionals"" + 0.037*""digital-marketing-workshop"" + 0.035*""web-application"" + 0.035*""cocktails"" + 0.034*""organisational-culture"" + 0.022*""girls-having-fun"" + 0.015*""solopreneurs"""
32,"0.082*""courses-and-workshops"" + 0.074*""success"" + 0.063*""fashion-and-style"" + 0.061*""achieving-your-goals"" + 0.059*""fashion-entrepreneurs-sharing-successful-secrets"" + 0.047*""positive-thinking"" + 0.042*""people-helping-people"" + 0.033*""motivation"" + 0.023*""concerts"" + 0.021*""fashion"""
33,"0.092*""spirituality"" + 0.082*""meditation"" + 0.078*""self-improvement"" + 0.070*""consciousness"" + 0.057*""self-empowerment"" + 0.053*""wellness"" + 0.050*""self-exploration"" + 0.049*""spiritual-growth"" + 0.046*""transformation"" + 0.038*""energy-healing"""
34,"0.163*""online-marketing"" + 0.107*""social-media-marketing"" + 0.086*""marketing"" + 0.076*""social-media"" + 0.074*""digital-marketing"" + 0.070*""seo-search-engine-optimization"" + 0.048*""internetpro"" + 0.028*""entrepreneurship"" + 0.024*""professional-networking"" + 0.023*""digital-media"""
35,"0.148*""business-entrepreneur-networking"" + 0.090*""small-business-owners"" + 0.089*""entrepreneurship"" + 0.088*""professional-networking"" + 0.075*""startup-businesses"" + 0.062*""smallbiz"" + 0.054*""small-business-networking"" + 0.051*""business-strategy"" + 0.042*""prodev"" + 0.038*""business-referral-networking"""
36,"0.096*""eating-drinking-talking-laughing-etc"" + 0.076*""wine"" + 0.074*""foodie"" + 0.066*""food-and-drink"" + 0.037*""digital-publishing"" + 0.031*""exploring-new-restaurants"" + 0.025*""wine-and-food-pairing"" + 0.025*""agile-business-analysts"" + 0.024*""gui"" + 0.022*""wine-tasting"""
37,"0.086*""stock-investing"" + 0.077*""startup-pitching"" + 0.075*""business-startup"" + 0.050*""startup-incubation-and-entrepreneurship-mentors"" + 0.044*""stock-market"" + 0.039*""stock-trading"" + 0.035*""investing"" + 0.030*""stocks-and-options"" + 0.030*""stock-market-trading"" + 0.028*""wealth-building"""
38,"0.056*""weekend-getaways"" + 0.052*""content-management"" + 0.043*""crypto-currency-uk"" + 0.034*""crypto-currency"" + 0.028*""spiritual-healing"" + 0.028*""psychics"" + 0.027*""mediumship"" + 0.024*""quantified-self"" + 0.022*""midlife-career-change"" + 0.021*""neuroscience"""
39,"0.069*""business-intelligence-best-practices"" + 0.055*""business-intelligence-strategy"" + 0.045*""start-up"" + 0.044*""business-start-up"" + 0.043*""datamanagement"" + 0.040*""singers"" + 0.036*""business-intelligence-tools-and-technology"" + 0.035*""musicians"" + 0.034*""business-intelligence-data-warehousing"" + 0.026*""electronicmusic"""
40,"0.099*""javascript"" + 0.066*""javascript-frameworks"" + 0.057*""dotnet"" + 0.057*""html5"" + 0.053*""web-development"" + 0.052*""nodejs"" + 0.041*""javascript-libraries"" + 0.039*""front-end-development"" + 0.037*""cms"" + 0.037*""javascript-applications"""
41,"0.048*""coffee-tea-socials"" + 0.040*""enterprise-search"" + 0.030*""apache-lucene"" + 0.027*""italian"" + 0.026*""solr"" + 0.026*""fba-fulfillment-by-amazon"" + 0.024*""elasticsearch"" + 0.024*""text-analytics"" + 0.023*""office-365"" + 0.019*""lucene-solr-nutch-mahout-and-open-source-search"""
42,"0.155*""computer-science"" + 0.050*""remote-workers"" + 0.049*""hypnosis-and-hypnotherapy"" + 0.048*""hypnosis"" + 0.036*""fiction"" + 0.027*""digital-nomads"" + 0.021*""kx"" + 0.017*""location-independent-businesses"" + 0.016*""energy-efficiency"" + 0.014*""kdb"""
43,"0.133*""virtual-reality"" + 0.114*""augmented-reality"" + 0.060*""virtual-worlds"" + 0.058*""oculus-rift"" + 0.054*""mixed-reality"" + 0.052*""newtech"" + 0.049*""vr-glasses"" + 0.031*""social-augmented-reality"" + 0.029*""3d-gaming"" + 0.029*""the-future-of-video-games"""
44,"0.200*""young-professionals"" + 0.041*""leadership"" + 0.026*""change-management"" + 0.024*""change-leadership"" + 0.024*""young-entrepreneur"" + 0.024*""business-strategy"" + 0.022*""prodev"" + 0.021*""organizational-development"" + 0.020*""innovation"" + 0.017*""professional-networking"""
45,"0.134*""internet-ecommerce"" + 0.094*""ecommerce-marketing"" + 0.091*""building-an-online-business"" + 0.078*""online-marketing"" + 0.070*""ecommerce-technology"" + 0.045*""internet-retail"" + 0.036*""entrepreneurship"" + 0.026*""email-marketing-ecommerce"" + 0.026*""small-business-marketing-strategy"" + 0.025*""considering-an-online-ecommerce-retail-store"""
46,"0.066*""web-development"" + 0.062*""computer-programming"" + 0.055*""javascript"" + 0.045*""user-interface-design"" + 0.045*""softwaredev"" + 0.045*""ruby"" + 0.040*""ruby-on-rails"" + 0.039*""webstandards"" + 0.035*""programming-languages"" + 0.028*""python"""
47,"0.092*""sales"" + 0.048*""sales-professionals"" + 0.042*""marketing-and-sales"" + 0.034*""continuous-deployment"" + 0.028*""music-production"" + 0.025*""realestateagent"" + 0.021*""adobe"" + 0.021*""sales-management"" + 0.020*""consultant"" + 0.017*""continuous-integration"""
48,"0.133*""cloud-computing"" + 0.118*""big-data"" + 0.107*""opensource"" + 0.051*""nosql"" + 0.047*""database-development"" + 0.040*""databasepro"" + 0.039*""newtech"" + 0.029*""softwaredev"" + 0.026*""sql"" + 0.026*""drupal"""
49,"0.107*""software-qa-and-testing"" + 0.097*""test-automation"" + 0.078*""test-driven-development"" + 0.062*""software-testing"" + 0.059*""agile-testing"" + 0.047*""quality-assurance"" + 0.047*""software-quality"" + 0.044*""softwaredev"" + 0.028*""agile-project-management"" + 0.027*""load-testing-and-performance"""
50,"0.079*""real-estate-investors"" + 0.072*""real-estate-investing"" + 0.067*""property"" + 0.064*""property-networking"" + 0.060*""making-money-with-rental-property"" + 0.058*""property-investors-network"" + 0.056*""rental-property-investments"" + 0.053*""property-developing"" + 0.053*""real-estate-investment-education"" + 0.051*""property-management"""
51,"0.090*""makers"" + 0.072*""electronics"" + 0.065*""makerspaces"" + 0.064*""hacking"" + 0.063*""robotics"" + 0.062*""arduino"" + 0.044*""3d-printing"" + 0.033*""social-dancing"" + 0.032*""raspberry-pi"" + 0.029*""diy"""
52,"0.129*""new-product-development-software-tech"" + 0.091*""productdesign"" + 0.082*""product-development"" + 0.078*""product-management"" + 0.051*""software-product-management"" + 0.040*""innovation"" + 0.033*""embedded-systems"" + 0.024*""user-experience"" + 0.021*""newtech"" + 0.016*""product-marketing"""
53,"0.053*""django"" + 0.043*""walking-tours"" + 0.039*""community"" + 0.037*""historical-tours"" + 0.032*""real-life-uses-of-aws-and-cloud-servers"" + 0.030*""cto"" + 0.027*""urbanexplor"" + 0.023*""intellectualprop"" + 0.019*""voip-and-technology"" + 0.019*""ip-telephony"""
54,"0.086*""writing"" + 0.045*""musicians"" + 0.044*""creative-writing"" + 0.038*""boston-artists"" + 0.027*""novel-writing"" + 0.025*""screenwriters"" + 0.023*""chinese-culture"" + 0.023*""chinese-language"" + 0.021*""customerservice"" + 0.020*""customer-satisfaction"""
55,"0.107*""gamedev"" + 0.086*""game-design"" + 0.053*""gameprog"" + 0.052*""unity"" + 0.046*""videogame"" + 0.044*""video-game-development"" + 0.038*""indie-games"" + 0.036*""video-game-design"" + 0.035*""data-science-using-python"" + 0.030*""games"""
56,"0.109*""financial-education"" + 0.100*""financial-freedom"" + 0.075*""wealth-creation"" + 0.066*""investing"" + 0.053*""retirement"" + 0.052*""entrepreneurship"" + 0.047*""financial-planning"" + 0.043*""financial-independence"" + 0.041*""cashflow"" + 0.032*""money"""
57,"0.041*""german"" + 0.038*""expatgerman"" + 0.030*""improv"" + 0.029*""language"" + 0.028*""business-strategy-and-professional-development"" + 0.028*""museum"" + 0.027*""cognitive-science"" + 0.026*""comedy"" + 0.026*""german-culture"" + 0.026*""german-conversation"""
58,"0.049*""legal-and-business"" + 0.048*""law"" + 0.047*""legal-professionals"" + 0.041*""lawyers"" + 0.039*""legal-networking"" + 0.039*""lawtech"" + 0.038*""ux-ui"" + 0.036*""legal-industry"" + 0.027*""storytelling"" + 0.027*""law-practice"""
